tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro;;
176,00;9,00;11,4;1,99;0;;
177,00;9,20;11,2;1,99;0;;
178,00;9,10;11,4;1,99;0;;
179,00;8,80;11,5;1,99;0;;
180,00;9,50;11,4;1,99;0;;
181,00;9,40;11,7;1,99;0;;
182,00;9,10;11,4;1,99;0;;
183,00;9,00;11,7;1,99;0;;
184,00;9,10;11,6;1,99;0;;
185,00;8,90;11,5;1,99;0;;
186,00;9,20;11,4;1,99;0;;
187,00;9,10;11,6;1,99;0;;
188,00;9,40;11,4;1,99;0;;
189,00;9,10;11,4;1,99;0;;
190,00;9,10;11,5;1,99;0;;
191,00;9,10;11,5;1,99;0;;
192,00;9,10;11,5;1,99;0;;
193,00;9,30;11,6;1,99;0;;
194,00;9,20;11,5;1,99;0;;
195,00;9,20;11,5;1,99;0;;
196,00;9,20;11,4;1,99;0;;
197,00;9,10;11,5;1,99;0;;
199,00;9,30;11,6;1,99;0;;
200,00;9,10;11,7;1,99;0;;
201,00;9,00;11,7;1,99;0;;
202,00;9,10;11,7;1,99;0;;
203,00;9,20;11,7;1,99;0;;
205,00;9,10;11,5;1,99;0;;
206,00;9,10;11,7;1,99;0;;
207,00;9,20;11,7;1,99;0;;
208,00;9,10;11,5;1,99;0;;
209,00;9,10;11,5;1,99;0;;
211,00;9,30;11,6;1,99;0;;
212,00;9,20;11,6;1,99;0;;
213,00;9,10;11,6;1,99;0;;
214,00;9,10;11,8;1,99;0;;
215,00;8,90;11,8;1,99;0;;
217,00;9,00;11,7;1,99;0;;
218,00;8,90;11,9;1,99;0;;
219,00;9,20;11,7;1,99;0;;
220,00;9,20;11,6;1,99;0;;
221,00;9,10;11,6;1,99;0;;
222,00;8,90;11,7;1,99;0;;
223,00;9,10;11,8;1,99;0;;
224,00;9,30;11,8;1,99;0;;
225,00;9,30;11,6;1,99;0;;
226,00;9,30;11,7;1,99;0;;
227,00;9,10;11,5;1,99;0;;
228,00;9,00;11,7;1,99;0;;
229,00;9,00;11,8;1,99;0;;
230,00;8,90;11,6;1,99;0;;
231,00;9,20;11,8;1,99;0;;
232,00;9,70;12;1,99;0;;
233,00;8,80;11,8;1,99;0;;
234,00;9,20;11,8;1,99;0;;
235,00;9,30;11,9;1,99;0;;
236,00;9,20;11,8;1,99;0;;
237,00;9,20;11,9;1,99;0;;
238,00;9,50;11,8;1,99;0;;
239,00;9,20;11,6;1,99;0;;
241,00;9,40;11,8;1,99;0;;
242,00;9,40;11,9;1,99;0;;
243,00;9,30;11,6;1,99;0;;
244,00;9,40;11,7;1,99;0;;
245,00;9,40;12;1,99;0;;
247,00;9,30;11,9;1,99;0;;
248,00;9,00;11,8;1,99;0;;
249,00;9,20;11,8;1,99;0;;
