tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro;;
197;9.1;11.5;1.99;0;;
199;9.3;11.6;1.99;0;;
200;9.1;11.7;1.99;0;;
201;9;11.7;1.99;0;;
202;9.1;11.7;1.99;0;;
203;9.2;11.7;1.99;0;;
205;9.1;11.5;1.99;0;;
206;9.1;11.7;1.99;0;;
207;9.2;11.7;1.99;0;;
208;9.1;11.5;1.99;0;;
209;9.1;11.5;1.99;0;;
211;9.3;11.6;1.99;0;;
212;9.2;11.6;1.99;0;;
213;9.1;11.6;1.99;0;;
214;9.1;11.8;1.99;0;;
215;8.9;11.8;1.99;0;;
217;9;11.7;1.99;0;;
218;8.9;11.9;1.99;0;;
219;9.2;11.7;1.99;0;;
220;9.2;11.6;1.99;0;;
221;9.1;11.6;1.99;0;;
222;8.9;11.7;1.99;0;;
223;9.1;11.8;1.99;0;;
224;9.3;11.8;1.99;0;;
225;9.3;11.6;1.99;0;;
226;9.3;11.7;1.99;0;;
227;9.1;11.5;1.99;0;;
228;9;11.7;1.99;0;;
229;9;11.8;1.99;0;;
230;8.9;11.6;1.99;0;;
231;9.2;11.8;1.99;0;;
232;9.7;12;1.99;0;;
233;8.8;11.8;1.99;0;;
234;9.2;11.8;1.99;0;;
235;9.3;11.9;1.99;0;;
236;9.2;11.8;1.99;0;;
237;9.2;11.9;1.99;0;;
238;9.5;11.8;1.99;0;;
239;9.2;11.6;1.99;0;;
241;9.4;11.8;1.99;0;;
242;9.4;11.9;1.99;0;;
243;9.3;11.6;1.99;0;;
244;9.4;11.7;1.99;0;;
245;9.4;12;1.99;0;;
247;9.3;11.9;1.99;0;;
248;9;11.8;1.99;0;;
249;9.2;11.8;1.99;0;;
250;9.8;11.8;1.99;0;;
251;9.3;11.5;1.99;0;;
253;9.4;11.9;1.99;0;;
254;9.3;12;1.99;0;;
255;8.9;11.7;1.99;0;;
256;9.3;11.8;1.99;0;;
257;8.9;11.8;1.99;0;;
259;9.3;11.9;1.99;0;;
260;9.3;11.9;1.99;0;;
261;8.8;11.4;1.99;0;;
262;9.2;11.9;1.99;0;;
263;9.3;11.7;1.99;0;;
264;9.7;11.9;1.99;0;;
265;9.4;11.7;1.99;0;;
266;9.5;11.9;1.99;0;;
267;9.3;11.9;1.99;0;;
268;9.2;11.8;1.99;0;;
269;9.4;12;1.99;0;;
271;9.4;12;1.99;0;;
272;9.3;11.8;1.99;0;;
273;9;12;1.99;0;;
274;9.1;11.9;1.99;0;;
275;9.1;12;1.99;0;;
277;9.4;11.6;1.99;0;;
278;9.5;11.9;1.99;0;;
279;9.3;11.8;1.99;0;;
280;9.5;11.8;1.99;0;;
281;9.2;11.9;1.99;0;;
282;9.4;12;1.99;0;;
283;9.3;11.9;1.99;0;;
284;9.4;12;1.99;0;;
285;9.2;11.9;1.99;0;;
287;9.3;12.1;1.99;0;;
288;9.2;12;1.99;0;;
289;9.4;12.1;1.99;0;;
290;9.3;11.9;1.99;0;;
291;9.4;11.9;1.99;0;;
292;9.6;11.9;1.99;0;;
293;9.5;12;1.99;0;;
295;9.5;11.9;1.99;0;;
296;9.4;11.9;1.99;0;;
297;9.9;12.1;1.99;0;;
298;9.4;11.7;1.99;0;;
299;9.1;12.1;1.99;0;;
300;9.2;11.6;1.99;0;;
301;9.3;12.1;1.99;0;;
302;9.3;12.2;1.99;0;;
303;9.3;11.9;1.99;0;;
304;9.4;11.8;1.99;0;;
305;9.5;11.8;1.99;0;;
306;9.5;11.9;1.99;0;;
307;9.2;11.9;1.99;0;;
308;9.7;12;1.99;0;;
309;9;12.1;1.99;0;;
310;9.2;12;1.99;0;;
311;9.5;11.9;2.5;0;;
312;9.4;11.9;2.5;0;;
313;9.5;12.1;2.5;0;;
314;9.7;12.1;2.5;0;;
315;9.9;12.1;2.5;0;;
316;9.8;12.2;2.5;0;;
317;10;12.3;2.5;0;;
319;10.3;12.7;2.5;0;;
320;10.3;12.6;2.5;0;;
321;10.1;12.5;2.5;0;;
322;10.2;12.5;2.5;0;;
323;10.3;12.6;2.5;0;;
324;10.5;12.6;2.5;0;;
325;10.6;12.7;2.5;0;;
326;10.6;12.6;2.5;0;;
327;11.1;12.9;2.5;0;;
328;10.7;13;2.5;0;;
329;10.7;13.2;2.5;0;;
330;11.2;12.8;2.5;0;;
331;10.9;13.2;2.5;0;;
332;11;13.1;2.5;0;;
333;11.1;13.1;2.5;0;;
334;11.1;13;2.5;0;;
335;11.3;13.2;2.5;0;;
337;11.2;13.4;2.5;0;;
338;11.5;13.4;2.5;0;;
339;11.3;13.3;2.5;0;;
340;11.4;13.7;2.5;0;;
341;11.3;13.7;2.5;0;;
343;11.5;13.8;2.5;0;;
344;11.6;13.8;2.5;0;;
345;11.8;13.8;2.5;0;;
346;11.6;13.9;2.5;0;;
347;11.8;14.1;2.5;0;;
349;11.9;14.1;2.5;0;;
350;11.6;13.9;2.5;0;;
351;11.7;13.9;2.5;0;;
352;11.8;14.2;2.5;0;;
353;11.8;14.3;2.5;0;;
355;11.5;14.4;2.5;0;;
356;11.9;14.4;2.5;0;;
357;12;14.3;2.5;0;;
358;12.1;14.4;2.5;0;;
359;11.9;14.4;2.5;0;;
360;12;14.3;2.5;0;;
361;12.1;14.3;2.5;0;;
362;12.1;14.4;2.5;0;;
363;12;14.5;2.5;0;;
364;12.4;14.5;2.5;0;;
365;12.2;14.3;2.5;0;;
366;12.2;14.6;2.5;0;;
367;12.3;14.9;2.5;0;;
368;12.1;14.7;2.5;0;;
369;12.1;14.7;2.5;0;;
370;12.2;14.7;2.5;0;;
371;12;14.9;2.5;0;;
373;12.2;14.8;2.5;0;;
374;12.4;14.8;2.5;0;;
375;12.3;15;2.5;0;;
376;12.4;15.1;2.5;0;;
377;12.2;15;2.5;0;;
378;12.3;14.9;2.5;0;;
379;12.8;15;2.5;0;;
380;12.4;15.2;2.5;0;;
381;12.5;15.3;2.5;0;;
382;12.4;15.2;2.5;0;;
383;12.6;15;2.5;0;;
384;12.8;15;2.5;0;;
385;12.6;15.2;2.5;0;;
386;12.5;15.2;2.5;0;;
387;12.5;15.2;2.5;0;;
388;13.1;15.3;2.5;0;;
389;12.7;15.3;2.5;0;;
391;12.9;15.4;2.5;0;;
392;12.5;15.6;2.5;0;;
393;12.7;15.5;2.5;0;;
394;12.7;15.4;2.5;0;;
395;12.7;15.4;2.5;0;;
396;12.6;15.4;2.5;0;;
397;12.8;15.5;2.5;0;;
398;12.7;15.3;2.5;0;;
399;12.9;15.8;2.5;0;;
