tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
233;12.6;12.7;5.0;0.8
234;13.2;13.3;5.0;0.2
235;14.2;13.7;4.1;-0.7
236;14.2;14.0;3.0;-0.7
238;14.2;14.1;0.9;-0.7
239;13.7;13.6;0.0;-0.2
240;12.8;13.3;0.1;0.6
241;12.5;12.7;2.1;0.9
242;12.4;12.8;3.6;1.0
244;12.8;12.9;5.0;0.5
245;13.7;13.4;4.9;-0.2
246;13.7;13.6;4.9;-0.1
247;14.3;13.6;3.7;-0.8
248;14.6;14.2;2.1;-0.9
250;13.8;13.7;0.0;-0.3
251;13.3;13.4;0.0;0.1
252;12.4;12.8;0.6;0.8
253;12.4;12.5;3.4;1.0
254;12.1;12.7;5.0;0.8
256;13.2;12.8;5.0;0.2
258;14.2;13.8;3.2;-0.6
259;14.4;14.0;2.0;-0.9
260;14.0;13.9;0.5;-0.5
262;13.0;13.0;0.1;0.4
263;12.4;12.6;1.0;0.5
264;12.7;12.7;2.5;1.2
265;12.4;12.6;5.0;1.0
266;13.2;12.9;5.0;0.7
268;13.6;13.3;4.8;0.1
269;14.2;13.7;3.9;-0.6
270;14.4;13.7;2.9;-0.9
271;14.1;14.0;0.4;-0.6
272;13.6;13.4;0.0;-0.4
274;12.4;12.7;1.5;1.0
275;12.5;12.6;3.2;1.0
276;12.7;12.2;4.2;0.7
277;13.2;12.6;5.0;0.3
278;13.7;13.0;4.9;-0.2
280;13.5;13.8;4.1;-0.7
281;14.4;14.0;2.3;-0.9
282;14.2;13.9;1.2;-1.0
283;13.5;13.4;0.0;-0.3
284;13.1;12.7;0.5;0.5
286;12.5;12.6;3.1;0.8
287;12.8;12.4;4.6;1.0
288;12.9;12.7;5.0;0.4
289;13.8;12.9;4.9;-0.3
290;13.7;13.1;4.5;-0.2
292;14.3;14.0;2.4;-0.8
293;14.4;13.8;1.3;-0.9
294;13.9;13.8;0.1;-0.4
295;12.7;12.9;0.4;0.7
296;12.7;12.3;1.7;0.9
298;12.5;12.5;4.2;0.9
300;13.3;12.8;4.9;0.0
301;13.9;13.2;4.5;-0.3
302;14.1;13.6;3.6;-0.8
304;14.2;13.7;1.4;-0.6
305;13.7;13.5;0.1;-0.3
306;14.1;13.2;0.0;-0.2
307;12.4;12.8;1.3;0.6
308;12.5;12.5;3.1;0.9
310;12.7;12.6;5.0;0.7
311;13.2;12.8;5.0;0.6
312;13.6;13.2;4.9;-0.1
313;14.3;13.4;4.0;-0.8
314;14.4;13.7;2.5;-0.9
316;14.0;13.8;0.3;-0.7
317;13.6;13.2;0.0;0.0
318;12.8;12.8;0.7;0.4
319;12.5;12.6;3.3;1.0
320;12.5;12.8;4.0;0.9
322;13.2;13.3;4.9;-0.1
323;13.4;13.5;5.0;0.2
324;14.0;13.6;4.6;-0.5
325;14.3;14.0;2.5;-1.0
326;14.7;13.9;0.9;-1.0
328;13.3;13.3;0.0;0.2
329;12.8;12.5;0.8;0.6
330;12.4;12.5;1.6;1.0
331;12.3;12.2;4.7;1.0
332;12.7;12.3;5.0;0.7
334;13.4;13.1;5.0;0.0
335;13.8;13.7;4.2;-0.3
336;14.4;13.5;3.2;-0.9
337;14.2;13.7;2.0;-0.6
338;14.3;13.5;0.9;-0.8
340;13.0;12.7;0.6;0.4
341;12.4;12.2;2.4;1.1
342;12.8;12.3;3.5;1.2
343;12.7;12.6;5.0;0.7
344;13.0;12.6;5.0;0.4
346;13.8;13.1;4.6;-0.3
347;14.4;13.8;3.5;-0.9
348;14.0;13.6;2.2;-0.7
349;14.6;13.7;0.9;-0.8
350;13.7;13.2;0.0;-0.4
351;12.9;12.8;0.2;0.5
352;12.4;12.4;2.1;1.0
353;12.7;12.6;3.6;0.7
354;12.7;12.5;4.8;0.7
355;13.4;12.6;5.0;0.3
356;14.0;12.9;4.8;-0.4
358;14.5;13.6;3.4;-0.8
359;13.9;13.9;2.2;-0.4
360;14.3;13.8;1.0;-0.8
