tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
212;8.5;8.1;1.9;0.6
213;8.5;8.2;2.0;0.3
214;9.0;8.0;2.0;0.3
215;8.8;8.5;2.0;0.5
216;9.0;8.3;2.0;0.1
217;8.8;8.3;2.0;0.0
218;9.1;8.5;2.0;0.0
220;9.4;8.7;2.0;-0.2
221;9.0;8.8;2.1;0.1
222;9.5;8.9;2.1;0.0
223;9.4;9.0;2.1;0.1
224;9.1;9.0;2.1;-0.4
225;9.2;8.9;2.1;0.0
226;9.7;8.9;2.1;-0.5
227;9.5;9.0;2.1;-0.2
228;9.8;9.3;2.1;-0.4
229;10.2;9.0;2.1;-0.8
230;9.7;9.0;2.1;-0.6
231;10.1;9.2;2.1;-0.9
232;10.0;9.2;2.1;-0.8
233;10.1;9.2;2.1;-1.0
234;9.8;9.5;2.1;-1.0
235;10.3;9.4;2.0;-0.9
236;10.7;9.4;2.0;-1.1
238;10.4;9.4;2.0;-1.1
239;10.6;9.6;2.0;-1.4
240;9.9;9.5;2.0;-1.0
241;10.3;9.7;2.0;-1.2
242;10.2;9.8;1.9;-1.0
243;10.2;9.8;1.9;-1.1
244;10.3;9.8;1.9;-1.3
245;10.4;9.6;1.9;-1.2
246;10.0;9.6;1.9;-1.2
247;10.3;9.7;1.8;-1.1
248;10.6;10.0;1.8;-1.2
249;10.6;9.8;1.8;-1.1
250;10.4;9.6;1.8;-1.2
251;10.6;10.1;1.8;-1.0
252;10.6;9.8;1.7;-0.9
253;10.3;9.8;1.7;-1.0
254;10.5;10.0;1.7;-1.1
255;10.3;9.7;1.7;-0.5
256;10.1;9.8;1.7;-0.9
257;9.9;10.0;1.6;-0.9
258;10.1;9.7;1.6;-0.9
259;10.4;9.6;1.6;-1.2
260;9.6;9.9;1.6;-0.8
261;10.4;9.5;1.6;-1.2
263;9.7;9.4;1.5;-0.5
264;9.8;9.7;1.5;-0.6
265;9.4;9.6;1.5;-0.8
266;9.8;9.5;1.5;-0.5
267;9.6;9.6;1.5;-0.5
268;9.2;9.6;1.4;0.0
269;9.7;9.5;1.4;-0.5
270;9.1;9.4;1.4;-0.2
271;9.3;9.6;1.4;-0.2
272;9.2;9.4;1.4;0.0
274;9.1;9.2;1.4;0.0
279;8.9;9.2;1.4;0.2
280;8.9;8.9;1.4;0.3
281;9.0;9.0;1.4;0.4
282;8.7;9.1;1.4;0.6
283;8.4;8.8;1.4;0.6
284;8.4;8.8;1.4;0.7
285;8.4;9.0;1.4;0.5
286;8.3;9.0;1.4;0.6
287;8.6;8.9;1.4;0.6
288;8.8;8.9;1.4;0.7
289;8.6;8.7;1.4;0.5
290;8.3;8.7;1.4;0.6
291;8.5;8.5;1.4;0.6
292;8.2;8.8;1.4;1.0
293;8.5;8.7;1.4;0.6
294;8.1;8.5;1.5;0.7
295;8.2;8.6;1.5;0.9
296;8.2;8.6;1.5;0.9
298;8.4;8.6;1.5;0.7
299;8.0;8.5;1.5;1.1
300;8.5;8.7;1.5;0.6
301;7.9;8.6;1.5;0.7
302;8.4;8.6;1.5;0.9
304;8.2;8.5;1.6;0.8
305;8.2;8.5;1.6;0.9
306;8.1;8.4;1.6;0.6
307;7.9;8.5;1.6;0.8
308;8.2;8.4;1.6;0.9
310;8.6;8.4;1.7;0.2
311;8.4;8.6;1.7;0.7
315;8.4;8.4;1.8;0.7
316;8.7;8.7;1.8;0.4
317;8.8;8.7;1.8;0.3
318;8.4;8.7;1.8;0.5
319;8.3;9.0;1.8;0.4
320;8.8;8.9;1.8;0.2
322;8.9;9.0;1.8;0.2
323;8.8;9.0;1.8;0.2
324;8.9;8.8;1.8;0.0
325;9.2;8.9;1.9;0.1
326;9.2;9.0;1.9;0.0
327;8.7;9.1;1.9;-0.1
328;9.6;9.0;1.9;0.2
329;9.2;9.1;1.9;0.0
330;9.1;9.0;1.9;0.0
331;9.2;8.9;1.9;0.0
332;9.2;9.0;1.9;0.0
334;9.7;9.3;1.9;3.7
335;9.7;9.2;2.0;4.0
336;9.6;9.3;2.1;3.8
337;9.6;9.3;2.2;3.8
338;9.9;9.3;2.2;3.7
339;9.5;9.4;2.3;3.8
340;9.9;9.5;2.4;3.3
341;9.8;9.4;2.4;3.4
342;10.2;9.9;2.5;3.4
343;10.2;9.7;2.6;3.1
344;10.4;9.7;2.6;3.1
345;10.7;10.1;2.8;2.7
346;11.1;10.0;2.8;2.5
347;10.7;10.3;2.9;2.7
348;10.9;10.5;2.9;2.4
349;11.2;10.4;3.0;2.3
350;11.2;10.8;3.0;2.2
351;12.0;10.8;3.1;1.4
352;12.0;10.9;3.2;1.4
353;11.6;11.1;3.2;1.4
354;12.2;11.0;3.2;1.2
355;12.1;11.2;3.3;1.1
356;12.8;11.4;3.3;0.9
357;12.4;11.5;3.4;0.6
358;13.0;11.7;3.4;0.4
359;13.2;12.0;3.4;0.3
360;13.3;12.0;3.5;0.1
361;13.4;12.4;3.5;0.0
362;14.1;12.4;3.5;-0.6
363;14.1;12.6;3.5;-0.6
364;14.2;12.5;3.5;-1.0
365;14.5;12.8;3.5;-0.7
366;14.6;13.1;3.5;-1.1
367;14.8;13.1;3.6;-1.2
369;14.9;13.5;3.5;-1.5
370;15.2;13.6;3.5;-1.7
371;15.4;13.7;3.5;-1.9
372;15.7;14.2;3.5;-2.1
373;15.5;14.2;3.5;-2.0
374;15.8;14.2;3.5;-2.3
375;16.1;14.5;3.4;-2.4
376;16.2;14.6;3.4;-2.7
377;16.3;14.6;3.4;-2.8
378;16.3;14.9;3.4;-2.5
379;16.4;14.9;3.3;-2.9
380;16.2;14.7;3.3;-3.1
381;16.7;15.1;3.2;-3.2
382;16.7;15.3;3.2;-3.2
383;17.3;15.4;3.2;-3.8
384;16.9;15.3;3.1;-3.2
385;16.8;15.7;3.1;-3.3
386;16.8;15.5;3.0;-3.4
387;17.1;15.5;2.9;-3.6
388;17.0;15.8;2.9;-3.5
389;17.0;15.7;2.8;-3.5
390;17.0;16.0;2.8;-3.5
391;16.9;15.8;2.7;-3.4
392;16.9;15.9;2.7;-3.3
393;17.3;15.7;2.6;-3.8
394;16.7;15.9;2.5;-3.2
395;17.0;16.0;2.5;-3.3
396;17.1;15.9;2.4;-3.6
397;16.7;16.0;2.4;-2.9
398;16.5;15.9;2.3;-3.1
399;16.6;15.9;2.2;-3.1
400;16.0;15.7;2.1;-2.7
401;16.2;15.8;2.1;-2.7
402;16.4;15.7;2.0;-2.7
403;16.0;15.8;2.0;-2.5
404;16.0;15.7;1.9;-2.5
405;15.9;15.3;1.8;-2.4
406;15.7;15.3;1.8;-1.8
407;15.5;15.3;1.7;-2.0
408;15.3;15.3;1.7;-1.8
409;15.2;15.0;1.6;-1.5
410;15.0;15.0;1.6;-1.5
411;14.8;14.9;1.5;-1.0
412;14.1;14.6;1.5;-0.8
413;14.3;14.5;1.5;-0.8
414;14.2;14.5;1.4;-0.7
415;14.1;14.6;1.4;-0.3
416;13.8;14.4;1.4;-0.2
418;13.2;13.8;1.3;0.2
419;12.7;13.7;1.3;0.5
420;12.9;13.6;1.3;1.0
421;12.3;13.3;1.3;0.7
423;12.4;13.1;1.3;1.2
424;12.1;13.0;1.3;1.3
425;11.8;13.0;1.3;1.0
426;12.4;12.7;1.3;1.4
427;11.8;12.7;1.3;1.5
428;11.4;12.8;1.3;1.8
429;11.3;12.5;1.3;1.9
430;11.3;12.1;1.3;2.2
431;11.3;12.2;1.3;2.1
432;11.1;12.2;1.4;2.4
433;11.3;12.2;1.4;2.3
434;10.7;12.1;1.4;2.3
435;10.8;11.9;1.5;2.6
436;10.6;11.8;1.5;2.7
437;10.3;11.8;1.5;2.6
438;10.7;12.0;1.5;2.7
439;10.3;11.7;1.6;3.1
440;10.5;11.6;1.6;2.9
441;10.5;11.7;1.7;2.9
442;10.5;11.6;1.7;2.9
443;10.3;11.4;1.8;3.1
444;10.1;11.4;1.8;2.7
445;10.6;11.5;1.8;2.9
446;10.6;11.5;1.9;2.7
447;10.7;11.5;2.0;3.0
449;10.7;11.5;2.0;2.7
450;10.8;11.5;2.1;2.6
451;10.8;11.6;2.1;2.5
452;10.8;11.7;2.2;2.5
453;11.2;11.5;2.3;2.2
455;11.5;11.7;2.3;2.5
456;11.6;11.5;2.4;2.2
457;11.3;11.7;2.4;2.1
458;11.4;11.9;2.5;2.0
459;11.5;11.9;2.6;1.8
460;11.8;11.7;2.6;1.6
461;11.7;12.1;2.6;1.7
462;11.7;12.2;2.7;1.7
463;12.0;12.0;2.7;1.4
464;12.2;12.2;2.7;1.0
465;12.2;12.4;2.8;1.2
466;12.3;12.2;2.8;1.2
467;12.7;12.1;2.9;0.9
468;13.0;12.5;2.9;0.5
469;12.8;12.3;2.9;0.6
470;13.1;12.8;2.9;0.3
471;12.8;12.9;3.0;0.2
472;13.4;12.8;3.0;0.0
473;13.4;12.8;3.0;0.0
474;13.5;12.9;3.0;-0.1
475;13.7;13.1;3.0;-0.2
477;14.1;13.3;3.1;-0.4
478;14.5;13.5;3.1;-1.0
479;14.0;13.4;3.1;-0.5
480;14.4;13.8;3.1;-1.0
481;14.2;14.0;3.1;-0.7
482;14.6;14.0;3.1;-0.8
483;14.7;14.2;3.1;-1.5
484;15.1;14.5;3.1;-1.2
485;15.3;14.4;3.0;-1.6
486;14.8;14.3;3.0;-1.6
487;15.2;14.5;3.0;-1.7
488;15.1;14.6;3.0;-1.9
489;15.3;14.9;3.0;-1.8
490;15.5;14.4;2.9;-2.0
491;15.9;14.9;2.9;-1.8
492;15.7;15.0;2.9;-2.0
493;15.6;14.9;2.9;-2.1
494;15.5;14.8;2.9;-2.1
496;15.8;15.0;2.8;-2.3
497;15.9;15.2;2.7;-2.4
498;16.1;15.2;2.7;-2.2
499;15.9;15.4;2.7;-2.4
500;15.6;15.3;2.7;-2.5
501;15.9;15.4;2.6;-2.5
502;15.5;15.3;2.5;-2.0
503;16.0;15.3;2.5;-2.2
504;15.8;15.2;2.5;-2.3
505;15.6;15.3;2.4;-2.1
506;15.4;15.5;2.4;-2.4
508;15.6;15.3;2.3;-2.1
509;15.5;15.3;2.2;-2.3
510;15.7;15.3;2.2;-2.2
511;15.6;15.1;2.2;-1.7
513;15.0;14.8;2.1;-1.5
514;15.0;15.2;2.0;-1.5
515;15.4;15.1;2.0;-1.6
516;15.0;15.1;2.0;-1.5
