tempoExperimento,alturaTanque1,alturaTanque2,tensaoBomba,erro
222,5.8,6.4,1.50,0
223,5.7,6.4,1.50,0
224,5.8,6.5,1.50,0
225,6.0,6.5,1.50,0
227,6.0,6.4,1.50,0
228,6.0,6.5,1.50,0
229,6.0,6.7,1.50,0
230,6.2,6.6,1.50,0
231,6.3,6.5,1.50,0
232,6.3,6.5,1.50,0
233,6.1,6.6,1.50,0
234,6.1,6.7,1.50,0
235,6.0,6.6,1.50,0
236,6.1,6.5,1.50,0
237,5.8,6.6,1.50,0
239,6.0,6.6,1.50,0
240,6.1,6.6,1.50,0
241,6.1,6.7,1.50,0
242,6.5,6.7,1.50,0
243,6.2,6.5,1.50,0
245,6.1,6.8,1.50,0
246,6.3,6.6,1.50,0
247,6.1,6.7,1.50,0
248,6.3,6.7,1.50,0
249,6.1,6.4,1.50,0
251,6.1,6.8,1.50,0
252,6.4,6.8,1.50,0
253,6.2,6.7,1.50,0
254,6.2,6.8,1.50,0
255,6.2,6.7,1.50,0
257,6.4,6.7,1.50,0
258,6.5,6.7,1.50,0
259,6.3,6.8,1.50,0
260,6.2,6.7,1.50,0
261,6.3,6.8,1.50,0
262,6.2,6.7,1.50,0
263,6.0,6.8,1.50,0
264,6.0,6.7,1.50,0
265,6.1,6.9,1.50,0
266,6.3,6.6,1.50,0
267,6.2,6.7,1.50,0
269,5.9,6.8,1.50,0
271,6.1,6.8,1.50,0
272,6.0,6.9,1.50,0
273,6.2,6.8,1.50,0
275,6.3,6.8,1.50,0
276,6.6,6.9,1.50,0
277,6.2,6.8,1.50,0
278,6.5,7.0,1.50,0
279,6.2,6.9,1.50,0
281,6.3,6.9,1.50,0
282,6.2,6.8,1.50,0
283,6.2,7.0,1.50,0
284,6.3,6.8,1.50,0
285,6.2,6.9,1.50,0
286,6.5,7.0,1.50,0
287,6.3,6.8,1.50,0
288,6.3,6.8,1.50,0
289,6.2,6.9,1.50,0
290,6.2,7.1,1.50,0
291,6.3,6.9,1.50,0
293,6.2,6.9,1.50,0
294,6.2,6.9,1.50,0
295,6.2,7.0,1.50,0
296,6.2,6.8,1.50,0
297,6.2,7.0,1.50,0
298,6.3,7.0,1.50,0
299,6.1,7.0,1.50,0
300,6.4,6.9,1.50,0
301,6.4,7.1,1.99,0
302,6.1,6.9,1.99,0
303,6.5,7.2,1.99,0
305,6.6,7.3,1.99,0
306,6.6,7.3,1.99,0
307,6.6,7.2,1.99,0
308,6.9,7.5,1.99,0
310,7.2,7.6,1.99,0
311,6.9,7.7,1.99,0
312,7.2,7.7,1.99,0
313,7.3,7.7,1.99,0
317,7.6,8.0,1.99,0
318,7.7,8.2,1.99,0
319,7.9,8.1,1.99,0
320,7.7,8.2,1.99,0
321,7.9,8.3,1.99,0
322,8.0,8.2,1.99,0
323,8.3,8.4,1.99,0
324,8.0,8.4,1.99,0
325,8.0,8.6,1.99,0
326,8.3,8.7,1.99,0
